nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,carta,carte,usocart,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,cartdeb,cartdeb1,fscoper1,DEPOSIT,NDEPOSIT
35374,2,,,1,1,2,,,,,2,,,2,,2,,1500,2,,,,1,2
35379,2,,,1,1,1,1,7,1500,500,2,,,2,,2,,1200,2,,,,1,1
35502,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
35507,2,,,1,1,2,,,,,2,,,1,2,2,,2000,1,,,,1,2
35508,,,,,,,,,,,2,,,2,,2,,500,2,,,,2,0
35518,2,,,1,1,2,,,,,2,,,1,1,2,,1200,2,,,,1,1
35600,2,,,1,1,2,,,,,2,,,2,,2,,800,2,,,,1,1
35640,1,1,2,2,2,2,,,,,1,2,1,1,2,1,1,500,1,,,,1,1
35682,2,,,1,1,1,1,6,2500,1200,2,,,1,1,1,1,450,1,,,,1,1
35788,2,,,2,2,2,,,,,1,1,2,1,1,1,1,2000,1,,,,1,3
35968,1,1,1,1,1,1,2,,,,2,,,1,1,2,,400,2,,,,1,1
36067,2,,,2,2,2,,,,,2,,,1,1,2,,700,2,,,,1,2
36130,2,,,1,1,2,,,,,1,1,2,1,2,1,1,1800,2,,,,1,2
36148,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
36164,2,,,1,1,1,1,2,300,,2,,,1,1,2,,300,2,,,2,1,1
36186,,,,1,1,,,,,,2,,,1,1,2,,800,2,,,,1,2
36250,2,,,1,1,2,,,,,2,,,1,3,1,1,1000,1,,,,1,2
36311,1,1,2,1,1,1,2,,,,1,1,1,1,1,1,1,1250,1,,,,1,1
36321,2,,,1,1,1,2,,,,1,1,1,1,1,2,,1700,1,,,,1,1
36333,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
36378,1,1,2,2,2,1,2,,,,1,1,1,1,3,2,,500,1,,,,1,2
36403,,,,1,1,,,,,,2,,,2,,2,,1000,2,,,,1,1
36409,2,,,1,1,2,,,,,1,1,2,1,1,2,,700,1,,,,1,1
36443,2,,,2,2,1,2,,,,1,2,2,1,2,2,,1400,2,,,,1,2
36450,1,1,1,2,2,2,,,,,2,,,1,1,1,1,2000,2,,,,1,3
36522,1,1,2,2,2,1,2,,,,1,2,2,1,1,1,1,600,1,,,,1,2
36524,2,,,1,1,3,,,,,1,1,1,2,,2,,3000,2,,,,1,2
36697,2,,,1,1,2,,,,,1,1,1,1,1,1,1,600,2,,,,1,2
36774,,,,1,1,,,,,,2,,,1,1,2,,480,2,,,,1,1
36893,2,,,1,1,1,1,8,5000,,1,1,3,1,1,1,1,500,2,1000,,1,1,1
37001,2,,,2,2,2,,,,,1,1,2,1,1,2,,1500,2,,,,1,2
37011,1,1,2,1,1,1,1,12,40000,45000,1,1,1,1,2,2,,600,1,,,,1,1
37042,2,,,1,1,1,2,,,,1,2,2,1,2,2,,750,1,,,,1,2
37299,,,,,,,,,,,2,,,2,,2,,1200,2,,,,2,0
37459,2,,,1,1,2,,,,,2,,,1,2,1,1,600,2,,,,1,2
37521,2,,,1,1,2,,,,,2,,,1,1,2,,700,2,,,,1,1
37665,2,,,2,2,2,,,,,2,,,1,3,1,1,400,1,,,,1,3
37677,2,,,1,1,3,,,,,1,2,2,1,1,1,1,1100,1,,,,1,1
37721,2,,,1,1,2,,,,,2,,,2,,2,,1000,2,,,,1,1
37810,,,,1,1,,,,,,2,,,2,,2,,500,2,,,,1,1
38014,2,,,2,2,2,,,,,2,,,1,2,2,,1200,1,,,,1,2
38095,2,,,1,1,2,,,,,2,,,2,,2,,1400,2,,,,1,1
38106,2,,,2,2,2,,,,,1,1,2,1,1,2,,1500,2,,,,1,2
38112,1,1,2,1,1,1,2,,,,2,,,1,2,1,3,830,1,,,,1,1
38135,2,,,2,3,1,1,12,120,120,2,,,2,,1,1,280,2,,,,1,3
38255,2,,,1,1,2,,,,,1,1,2,1,2,2,,100,1,,,,1,1
38261,2,,,1,1,1,2,,,,2,,,1,1,2,,1200,2,,,,1,2
38272,2,,,1,1,2,,,,,2,,,1,1,2,,1000,2,,,,1,1
38316,1,1,2,1,1,2,,,,,1,2,2,1,2,2,,1500,1,,,,1,1
38319,2,,,1,1,2,,,,,1,1,2,1,1,2,,500,2,,,,1,1
38349,1,1,2,1,1,1,2,,,,2,,,2,,2,,1500,2,,,,1,1
38554,2,,,1,1,1,1,12,1200,200,2,,,1,1,1,1,900,1,,,,1,1
38800,2,,,2,2,2,,,,,2,,,1,1,2,,500,2,,,,1,2
38877,2,,,1,1,1,2,,,,2,,,1,1,2,,400,2,,,,1,2
38885,2,,,2,2,1,2,,,,2,,,1,1,2,,1000,2,,,,1,2
38939,2,,,1,1,2,,,,,2,,,2,,2,,700,2,,,,1,1
38940,2,,,1,1,2,,,,,2,,,1,2,2,,1500,2,,,,1,1
38957,2,,,1,1,2,,,,,2,,,1,1,2,,1500,2,,,,1,1
38979,2,,,1,1,1,2,,,,2,,,1,1,2,,400,2,,,,1,1
38992,1,2,2,2,2,1,2,,,,1,2,2,1,3,1,1,500,1,,,,1,5
38995,1,1,1,1,1,1,2,,,,1,1,1,1,1,2,,1000,2,,,,1,1
39056,1,1,2,2,2,1,2,,,,1,1,2,1,2,2,,750,1,,,,1,2
39058,2,,,1,1,1,2,,,,2,,,1,1,2,,1200,2,,,,1,1
39086,2,,,2,2,2,,,,,1,1,1,1,3,2,,300,1,,,,1,3
39095,1,1,2,2,2,1,2,,,,1,2,2,1,2,1,1,500,1,,,,1,4
39218,2,,,2,2,2,,,,,2,,,1,1,2,,1300,2,,,,1,1
39227,2,,,1,1,2,,,,,2,,,2,,2,,500,2,,,,1,1
39284,1,2,3,1,1,1,2,,,,1,1,1,1,2,2,,300,1,,,,1,2
39317,2,,,1,1,2,,,,,1,1,2,1,1,2,,1600,2,,,,1,1
39318,2,,,1,1,2,,,,,1,1,2,1,1,2,,1400,2,,,,1,1
39351,,,,1,1,,,,,,2,,,2,,2,,1250,2,,,,1,1
39488,2,,,2,2,1,2,,,,2,,,1,1,2,,1500,2,,,,1,2
39491,2,,,1,1,1,2,,,,1,1,2,1,1,2,,500,2,,,,1,1
39697,2,,,1,1,3,,,,,1,2,2,1,2,2,,700,2,,,,1,1
50052,2,,,1,1,2,,,,,2,,,1,1,2,,600,2,,,,1,1
50060,2,,,2,2,2,,,,,2,,,1,2,1,1,500,1,,,,1,2
50085,2,,,1,1,2,,,,,2,,,1,2,2,,900,2,,,,1,1
50135,2,,,1,1,1,2,,,,2,,,1,1,2,,800,2,,,,1,1
50150,2,,,2,2,2,,,,,2,,,1,2,1,1,1000,1,,,,1,2
50231,2,,,1,1,2,,,,,2,,,2,,2,,1300,2,,,,1,1
50232,2,,,1,1,2,,,,,2,,,2,,2,,800,2,,,,1,1
51013,2,,,1,1,2,,,,,1,1,2,1,1,2,,2000,2,,,,1,1
51351,2,,,1,1,2,,,,,2,,,1,1,2,,1600,2,,,,1,2
51363,2,,,1,1,2,,,,,2,,,2,,2,,600,2,,,,1,1
51444,2,,,2,2,2,,,,,2,,,1,3,1,1,200,1,,,,1,5
