nquest,quest,nquestp,ncomp,vitgen,ngen,figli,nfigli,parnoit,anconv,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,contint,CAPI
29742,3,,4,2,,1,1,,1974,1,1,2,1,1,1,1,1,3,1
29798,3,,2,2,,1,3,,1960,2,1,2,1,2,1,2,1,2,1
29823,3,,6,1,2,2,,,1993,3,1,2,1,2,1,1,1,2,1
31092,3,,4,1,2,1,1,,1991,3,1,3,1,3,1,3,1,2,1
31093,3,,1,2,,2,,2,,2,1,2,1,,,,,2,0
31219,3,,1,2,,1,6,,,1,1,1,1,,,,,1,1
31220,3,,2,2,,1,2,,1962,1,1,1,1,1,1,1,1,1,1
31221,3,,2,2,,2,,,,3,1,3,1,,,,,1,1
31246,3,,2,2,,1,1,,1965,1,1,1,1,2,1,2,1,1,1
31304,3,,2,2,,1,1,,1969,2,1,2,1,2,1,2,1,2,1
31448,3,,1,2,,1,2,,,2,1,4,1,,,,,1,1
31625,3,,2,2,,2,,,,2,1,2,1,,,,,2,1
31652,1,,2,2,,1,1,,1969,1,1,1,1,2,1,2,1,2,1
31665,3,,2,2,,1,1,,1967,3,1,2,1,2,1,2,1,1,1
31671,3,,1,1,1,1,2,,,2,1,2,1,,,,,2,1
31695,3,,4,1,2,2,,,1987,2,1,2,1,2,1,2,1,2,1
31724,3,,5,1,2,2,,,1985,2,1,2,1,3,1,3,1,2,1
31757,3,,1,2,,1,1,,,2,1,2,1,,,,,1,1
31799,3,,2,2,,1,1,,1968,2,1,2,1,2,1,2,1,1,1
31860,3,,3,1,2,1,1,,1985,3,1,2,1,2,1,2,1,2,1
31912,3,,2,2,,1,2,,1967,1,1,1,1,1,1,1,1,2,1
32001,3,,2,2,,1,1,,1961,3,1,3,1,3,1,4,1,1,0
32034,3,,2,2,,1,2,,1970,2,1,1,1,1,1,1,1,1,1
32044,3,,1,2,,1,1,,,2,1,2,1,,,,,1,1
32052,3,,2,2,,1,2,,63,3,1,2,1,2,1,2,1,1,1
32057,3,,3,2,,2,,,1965,2,1,2,1,2,1,2,1,1,1
32190,3,,1,2,,2,,2,,4,1,3,1,,,,,2,1
32209,3,,2,2,,1,3,,1970,1,1,1,1,1,1,1,1,1,1
32210,3,,3,2,,1,3,,1977,2,1,2,1,2,1,2,1,2,1
32288,3,,2,1,2,1,3,,2012,2,1,2,1,2,1,2,1,2,1
32318,3,,1,2,,1,3,,,2,1,2,1,,,,,2,1
